Sector,Sub Sector,Project Name,View Profile,Total Project Cost
Beauty & Wellness,Skin Care,Bath Soap,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/bathsoap.pdf,2447000
Furniture & Fittings,Furniture,STEEL FURNITURE UNIT ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/STEEL FURNITURE UNIT.pdf,1693000
Retail,Retail,Plastic Price Tag,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticPriceTag.pdf,2041000
Other Sectors,Stone Products,STONE POLISHING UNIT ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON STONE POLISHING UNIT.pdf,165000
Handicrafts and Carpet,Carpets,Handmade carpet,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/handmadecarpet.pdf,1097000
Power and Electrical,Electrical,Glass Bulb Shell,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GlassBulbShellDPR.pdf,1442000
Food Processing,Flour,POWER ATTA CHAKKI,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/POWER ATTA CHAKKI.pdf,90000
Food Processing,Cereal Processing,Isabgol,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/IsabgolDPR.pdf,1979000
Handicrafts and Carpet,Handicrafts,Tribal Craft,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tribal CraftDPR.pdf,890000
Other Sectors,Household,GP Bucket,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GPBucket.pdf,1284000
Food Processing,Beverage Manufacturing,Honey Based Beverages,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HoneyBasedBeverages.pdf,2500000
Textile,Textile Manufacturing,Banana Silk Fabric,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BananaSilkFabric.pdf,1075000
Media & Entertainment,Event Services,HIRING OF AUDIO SYSTEM,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HIRING OF AUDIO SYSTEM.pdf,164000
IT-ITeS,Service Center,Computer Hardware Service Center,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ComputerHardwareServiceCenter.pdf,512700
Food Processing,Snacks,crispy corn snacks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/crispycornsnacks.pdf,2487000
"Apparel, Made-Ups & Home Furnishing",Clothing Manufacturing,LADY SUITS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LADY SUITS.pdf,769000
Food Processing,Spice Processing,Garlic Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GarlicPowder.pdf,2181000
Power and Electrical,Electrical,Switch Mfg,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SwitchMfg.pdf,2120000
Food Processing,Rice,Rubber Rice Polisher,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberRicePolisher.pdf,2722000
"Rubber, Chemical and Petrochemical",Chemicals,MANUFACTURING OF AGARBATTI,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURING OF AGARBATTI.pdf,725000
Logistics,Eco-Friendly Packaging,Biodegradable Plastic Bags,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BiodegradablePlasticBags.pdf,2289000
Food Processing,Honey Processing,Coconut Honey,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoconutHoney.pdf,2244000
Food Processing,Confectionery,Chikki,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Chikki.pdf,2456000
HealthCare,Ayurvedic Products,MANUFACTURE OF AYURVEDIC CHURNA,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MANUFACTURE OF AYURVEDIC CHURNA.pdf,476000
Electronics,Service Center,Mobile Hardware Servicing,/srv/YouthMissionMobile/DPR/UNIQUE__MOBI__CARE__MOBILE__AND__DTP__9__LACS__EDI__SGR.pdf,900000
Logistics,Adhesive Products,Adhesive Tapes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AdhesiveTapes.pdf,1350000
Electronics,Cooling Systems,Air Cooler,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AirCooler.pdf,2044000
Automotive,Tire Manufacturing,Autombile Tyre Retreading,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AutombileTyreRetreading.pdf,2226000
Food Processing,Fruit Processing,Jackfruit processing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Jackfruitprocessing.pdf,2400000
Automotive,Vehicle Parts Manufacturing,CAST IRON BRAKE DRUMS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON CAST IRON BRAKE DRUMS.pdf,1745000
Textile,Textile Manufacturing,Blank Weaving Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/BlankWeavingUnit.pdf,2499000
Life Sciences,Protective Equipment,3 Ply Mask,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/3PlyMask.pdf,1805000
Automotive,Oil Processing,4T Oil Blending Plant,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/4TLubricantsOilChemical.pdf,6891000
"Rubber, Chemical and Petrochemical",Gas Production,Acetylene Gas,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcetyleneGas.pdf,2094000
"Rubber, Chemical and Petrochemical",Paint,Acrylic Paints (Chemical),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcrylicPaintsChemical.pdf,2156000
Media & Entertainment,Signage,Acrylic Signage Board,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/AcrylicSignageBoard.pdf,2111000
IT-ITeS,Computer Components,ADD-ON CARDS FOR COMPUTER,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ADDONCARDSFORCOMPUTER.pdf,450000
Life Sciences,Medical Equipment,Adjustable hospital beds,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Adjustablehospitalbeds.pdf,1293000
