"ID","Project Name","Sector","Sub Sector","Total Project Cost","View Profile"
774,"LEATHER WALLETS AND PURSES (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1660000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf"
775,"LEATHER WALLETS AND PURSES (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1660000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf"
776,"Plastic Toothpick","Other Sectors","Kitchenware","2436000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PlasticToothpick.pdf"
777,"LEATHER WALLETS AND PURSES (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","1660000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER WALLETS AND PURSES.pdf"
778,"LEATHER JEWELLERY (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","524000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER JEWELLERY.pdf"
779,"LEATHER JEWELLERY (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","524000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER JEWELLERY.pdf"
780,"LEATHER JEWELLERY (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","524000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER JEWELLERY.pdf"
781,"LEATHER JEWELLERY (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","524000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER JEWELLERY.pdf"
782,"LEATHER JEWELLERY (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","524000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER JEWELLERY.pdf"
783,"LEATHER JEWELLERY (Ã‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃ‚Â )","Apparel, Made-Ups & Home Furnishing","Accessories Manufacturing","524000","https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON LEATHER JEWELLERY.pdf"
