Sector,Sub Sector,Project Name,View Profile
Other Sectors,Bioplastics,PROJECT PROFILE FOR CORRUGATED BOXES (Ãƒâ€šÃ‚Â HAND MADE PAPER AND FIBRE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Corrugated Boxes.pdf
Other Sectors,Paper Products,PROJECT PROFILE FOR GUMMED PAPER TAPE (Ãƒâ€šÃ‚Â HAND MADE PAPER AND FIBRE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Gummed Paper Tape.pdf
Other Sectors,Paper Products,PROJECT PROFILE FOR HAND MADE PAPER FROM WASTE (Ãƒâ€šÃ‚Â HAND MADE PAPER AND FIBRE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/handmade paper from waste.pdf
Other Sectors,Coir Products,PROJECT PROFILE FOR LATEX BACKED COIR MATTING UNIT (Ãƒâ€šÃ‚Â COIR BOARD BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE FOR COIR MATTING LATEX BACKING UNIT.docx
Other Sectors,Coir Products,PROJECT PROFILE FOR MINI TUFTING UNIT (Ãƒâ€šÃ‚Â COIR BOARD BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE FOR MINI TUFTING UNIT.docx
Other Sectors,Paper Products,PROJECT PROFILE FOR PAPER BAG (Ãƒâ€šÃ‚Â HAND MADE PAPER AND FIBRE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PAPER BAG MANUFACTURING.pdf
Other Sectors,Paper Products,PROJECT PROFILE FOR PAPER STRAW (Ãƒâ€šÃ‚Â HAND MADE PAPER AND FIBRE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Paper Straw.pdf
Other Sectors,Rubber,PROJECT PROFILE FOR RUBBER MOULDED COIR COIR UNIT (Ãƒâ€šÃ‚Â COIR BOARD BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE FOR RUBBER MOULDING COIR PRODUCT UNIT.docx
Other Sectors,Coir Products,PROJECT PROFILE FOR RUBBER MOULDED COIR MATTING (Ãƒâ€šÃ‚Â COIR BOARD BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Coir Mat.pdf
Other Sectors,Coir Products,PROJECT PROFILE FOR SEMI ? AUTOMATIC COIR MAT UNIT (Ãƒâ€šÃ‚Â COIR BOARD BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE FOR SEMI AUTOMATIC COIR MATTING UNIT.docx
Other Sectors,Coir Products,PROJECT PROFILE FOR SEMI AUTOMATIC COIR MATTING UNIT (Ãƒâ€šÃ‚Â COIR BOARD BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE FOR SEMI AUTOMATIC COIR MATTING UNIT.docx
Other Sectors,Coir Products,PROJECT PROFILE FORAUTOMATIC COIR FIBRE DYEIG/BLEACHING UNIT (Ãƒâ€šÃ‚Â COIR BOARD BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE FOR AUTOMATIC COIR FIBER DYEING OR BLEACHING UNIT.docx
Food Processing,Snacks,Puffed Rice,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PuffedRice.pdf
Food Processing,Pulses,PULSES PROCESSING UNIT,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PULSES PROCESSING UNIT.pdf
Construction,Construction Materials,Putty,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Putty.pdf
Other Sectors,Bags,PVC Bags,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PVCBags.pdf
Construction,Pipes,PVC Pipes,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PVCPipes.pdf
Power and Electrical,Wires and Cables,PVC Wire & Cable Coating,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PVCWireCableCoating.pdf
Construction,Building Materials,QUICK LIME (Ãƒâ€šÃ‚Â MINERAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON QUICK LIME.pdf
Construction,Construction Materials,R.C.C (Ãƒâ€šÃ‚Â MINERAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON R.C.C.pdf
Food Processing,Sweets,Rabri,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RabriFinal.pdf
Food Processing,Fruits,Raisin(Kishmish),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RaisinKishmish.pdf
Beauty & Wellness,Grooming,Razor,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Razor.pdf
Construction,Construction Materials,RCC Spun Pipe,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RCCSpunPipe.pdf
Construction,Construction Materials,RCC SPUN PIPE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON RCC SPUN PIPE.pdf
Food Processing,Noodles,Ready to eat noodles,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Readytoeatnoodles.pdf
Retail,Store,Readymade Garments,/srv/YouthMissionMobile/DPR/Readymade__Garments____11lac__SEI.pdf
"Apparel, Made-Ups & Home Furnishing",Apparel,Readymade Garments_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ReadymadeGarmentsDPR.pdf
Electronics,Home Appliances,RECHARGEABLE TORCH,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON RECHARGEABLE TORCH.pdf
Food Processing,Spices,Red Chilli Powder Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RedChilliPowderUnit.pdf
"Rubber, Chemical and Petrochemical",Paints,Red Iron Oxide,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RedIronOxide.pdf
"Rubber, Chemical and Petrochemical",Chemicals,Refining of Used Lubricant,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ReRefiningofUsedLubricant.pdf
Electronics,Home Appliances,Refrigerator & AC Repairing,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RefrigeratorACRepairing.pdf
Power and Electrical,Electrical Engineering,REGULATED D.C. POWER SUPPLIES (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON REGULATED D.C.pdf
Other Sectors,Electronics Repair,REPAIRS & MAINTENANCE OF CONSUMER ELECTRONIC PRODUCTS (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT  PROFILE  ON  REPAIRS &  MAINTENANCE  OF CONSUMER  ELECTRONIC PRODUCTS.pdf
Automotive,Mechanical Repair,REPAIRS OF DIESEL ENGINES & PUMP SETS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/REPAIRS OF DIESEL ENGINES & PUMP SETS.pdf
Food Processing,Restaurant,Restaurant,/srv/YouthMissionMobile/DPR/Restaurant_.pdf
Food Processing,Restaurant,Restaurant,/srv/YouthMissionMobile/DPR/Restaurant.pdf
Retail,Store,Retailing Of Cosmetics & Gift Items,/srv/YouthMissionMobile/DPR/Retailing__of__Cosmetics__&__Gift__Items.pdf
Food Processing,Cereals,Rice Flakes(Poha),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RiceFlakesPoha.pdf
Food Processing,Snacks,Roasted Flavoured Peanuts,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RoastedFlavouredPeanuts.pdf
Construction,Building Materials,Rolling Shutters,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RollingShutters.pdf
Iron and Steel,Construction Materials,ROLLING SHUTTERS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ROLLING SHUTTERS.pdf
Electronics,Home Appliances,ROOM COOLERS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ROOM COOLERS.pdf
Agriculture,Horticulture,Rose Cultivation,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RoseCultivation.pdf
Beauty & Wellness,Fragrances,Rose Water,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RoseWater.pdf
"Rubber, Chemical and Petrochemical",Rubber Products,Rubber Balloons,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberBalloons.pdf
Other Sectors,Accessories,Rubber Band,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberBand.pdf
"Rubber, Chemical and Petrochemical",Bedding,Rubber Latex Foam,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberLatexFoam.pdf
"Rubber, Chemical and Petrochemical",Coir Products,Rubber Moulding Coir Matting,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/RubberMouldingCoirMatting.pdf
Food Processing,Bakery,Rusk making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Ruskmaking.pdf
Other Sectors,Accessories,Safety Pin,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SafetyPin.pdf
Food Processing,Dairy Products,Saheem Ashiq,/srv/YouthMissionMobile/DPR/Manufacturing__and__processing__of__milk__and__milk__products.pdf
Other Sectors,Sale & Service of Electronics,Sale & Service of Electrical Items,/srv/YouthMissionMobile/DPR/Sale__&__Service____of__Electrical__Items.pdf
Other Sectors,Sale & Service of Water Filter Plants,Sale and Service of Water Filter Plants,/srv/YouthMissionMobile/DPR/Sale__and__Service__of__Water__Filter__Plants.pdf
Retail,Store,Sale of Automobile Accessories,/srv/YouthMissionMobile/DPR/Sale__of__Automobile__Accessories.pdf
Retail,Electronics,Sale of Electrical Goods,/srv/YouthMissionMobile/DPR/Electrical__store__9Lac.pdf
Retail,Electronics,Sale of Electronic items,/srv/YouthMissionMobile/DPR/Sale__of__Electronic__Items.pdf
Retail,Store,Sale Of Mobile Accessories & Other Services,/srv/YouthMissionMobile/DPR/Sale__of__Mobile__Accessories__&__Other__Services.pdf
Retail,Store,Sale of Readymade Garments,/srv/YouthMissionMobile/DPR/Readymade__Garments__Store.pdf
Electronics,Kitchen Appliances,Sandwich Maker Machine_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SandwichMakerMachineDPR.pdf
Beauty & Wellness,Feminine Hygiene,Sanitary Napkin,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SanitaryNapkin.pdf
"Apparel, Made-Ups & Home Furnishing",Dyeing,Saree Dyeing and Printing_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SareeDyeingandPrintingDPR.pdf
Other Sectors,Textiles,SAREE ROLLING AND POLISHING (Ãƒâ€šÃ‚Â SERVICE AND TEXTILE INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT  PROFILE  ON SAREE ROLLING AND POLISHING.pdf
Food Processing,Cereals,SATTU MANUFACTURING (Ãƒâ€šÃ‚Â AGRO BASED FOOD PROCESSING INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SATTU MANUFACTURING.pdf
Food Processing,Cereals,Sattu Manufacturing Project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SattuManufacturingProject.pdf
Other Sectors,Bags,School Bag,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SchoolBag.pdf
Other Sectors,Household,Scruber Wire,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ScruberWire.pdf
Food Processing,Seeds,Sesame Seeds_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SesameSeedsDPR.pdf
Beauty & Wellness,Cosmetics,Shampoo making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Shampoomaking.pdf
Beauty & Wellness,Cosmetics,SHAVING CREAM (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SHAVING CREAM.pdf
Beauty & Wellness,Cosmetics,Shaving Gel Project,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ShavingGelProject.pdf
Agriculture,Livestock Farming,Sheep Farm,/srv/YouthMissionMobile/DPR/Sheep__Farm.pdf
Agriculture,Livestock Farming,Sheep Farm,/srv/YouthMissionMobile/DPR/Sheep__Farm__5lac.pdf
Agriculture,Livestock Farming,Sheep Farm,/srv/YouthMissionMobile/DPR/Sheep__Farming.pdf
"Apparel, Made-Ups & Home Furnishing",Dyeing,Shirt Dyeing_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ShirtDyeingDPR.pdf
Other Sectors,Household,Shoe Brush,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ShoeBrush.pdf
Construction,Building Materials,Shuttering,/srv/YouthMissionMobile/DPR/Shuttering.pdf
"Sports, Physical Education, Fitness & Leisure",Sports Equipment,SHUTTLE COCK,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SHUTTLE COCK.pdf
Handicrafts and Carpet,Carpets,Silk Carpet,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SilkCarpet.pdf
"Apparel, Made-Ups & Home Furnishing",Apparel,Silk saree weaving,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Silksareeweaving.pdf
Beauty & Wellness,Cosmetics,Skin care cream,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Skincarecream.pdf
Beauty & Wellness,Cosmetics,SKIN TONNING LOTION (SKIN FRESHENERS) (Ãƒâ€šÃ‚Â POLYMER AND CHEMICAL BASED INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SKIN TONNING LOTION (SKIN FRESHENERS).pdf
Other Sectors,Footwear,Slipper Making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SlipperMaking.pdf
Electronics,Components,Small Transformer For Electronics Purpose,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SmallTransformerForElectronicsPurpose.pdf
Other Sectors,Hardware,SNAP FASTENERS (Ãƒâ€šÃ‚Â RURAL ENGG. AND BIO-TECH INDUSTRYÃƒâ€šÃ‚Â ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SNAP FASTENERS.pdf
"Apparel, Made-Ups & Home Furnishing",Apparel,socks Manufacturing Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/socksManufacturingUnit.pdf
"Rubber, Chemical and Petrochemical",Chemicals,Sodium Hypochlorite,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SodiumHypochlorite.pdf
Food Processing,Dairy,Soft Ice Cream,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoftIceCream.pdf
Other Sectors,Toys,Soft toys Making,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SofttoysMaking.pdf
Construction,Construction,Soil Cement Blocks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoilCementBlocks.pdf
Textile,Textiles,SOLAR CHARKHA 8 SPINDLE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SOLAR CHARKHA NEW_14.pdf
Textile,Textiles,"SOLAR CHARKHA SPINNING, WEAVING, PROCESSING & GARMENTS MANUFACTURING UNIT",https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SOLAR CHARKHA NEW_25.pdf
Electronics,Home Appliances,SOLAR COOKER ),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SOLAR COOKER.pdf
Electronics,Energy,Solar Lantern,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SolarLantern.pdf
Electronics,Electronics,soldering wire,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/solderingwire.pdf
Electronics,Audio,Sound Box & DJ System,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoundBoxDJSystem.pdf
Food Processing,Cereals,Soy Nuggets,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoyNuggets.pdf
Food Processing,Cereals,Soya Chunks,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoyaChunks.pdf
Food Processing,Flour,Soya Flour,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoyaFlour.pdf
Food Processing,Dairy,Soya Milk,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoyaMilk.pdf
Food Processing,Dairy,Soya Paneer,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SoyaPaneer.pdf
Food Processing,Sauces,SOYA SAUCE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON SOYA SAUCE.pdf
Automotive,Components,Spark Plug,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SparkPlug.pdf
Electronics,Audio,Speaker Coil,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SpeakerCoil.pdf
HealthCare,Equipment,Spirometer_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SpirometerDPR.pdf
Other Sectors,Sports Centre,Sports Centre,/srv/YouthMissionMobile/DPR/Sports__Centre.pdf
"Sports, Physical Education, Fitness & Leisure",Footwear,Sports Footwear,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SportsFootwear.pdf
"Rubber, Chemical and Petrochemical",Chemicals,Stable Bleaching Powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/StableBleachingPowder.pdf
Other Sectors,Cutlery,Stainless Steel Cutlery,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/StainlessSteelCutlery.pdf
Water Management and Plumbing,Water Filtration,STAINLESS STEEL PORTABLE WATER FILTER,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON STAINLESS STEEL PORTABLE WATER FILTER.pdf
Retail,Store,Stationary and Cafe,/srv/YouthMissionMobile/DPR/Stationary__2__lac.pdf
Other Sectors,Stationary and DTP Shop,Stationary and DTP Shop,/srv/YouthMissionMobile/DPR/Stationary__and__DTP__Shop.pdf
Furniture & Fittings,Furniture,STEEL BOOK RACK,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON STEEL BOOK RACK.pdf
Furniture & Fittings,Furniture,STEEL TRUNKS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON STEEL TRUNKS.pdf
Construction,Construction,Steel Tube_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SteelTubeDPR.pdf
Other Sectors,Accessories,Steel Watch Strap_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SteelWatchStrapDPR.pdf
Gem and Jewellery,Jewellery,Stone Jewellery Final,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/StoneJewellery Final.pdf
HealthCare,Equipment,Stretchers,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Stretchers.pdf
Food Processing,Confectionery,Sugar Candy,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SugarCandy.pdf
Food Processing,Confectionery,Sugar Globules,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SugarGlobules.pdf
Food Processing,Beverages,Sugarcane Juice Making Plant,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SugarcaneJuiceMakingPlant.pdf
"Rubber, Chemical and Petrochemical",Chemicals,Sulphur powder,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Sulphurpowder.pdf
HealthCare,Equipment,Surgical Adhesive Plasters,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SurgicalAdhesivePlasters.pdf
HealthCare,Equipment,Surgical Adhesive Tape,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SurgicalAdhesiveTape.pdf
HealthCare,Equipment,Surgical Bandage,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SurgicalBandage.pdf
HealthCare,Medical Supplies,SURGICAL BANDAGE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SURGICAL BANDAGE-OK-35-R.pdf
HealthCare,Medical Supplies,SURGICAL BANDAGE BIG TYPE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SURGICAL BANDAGE BIG SIZE -OK-35-R.pdf
HealthCare,Equipment,Surgical Gloves,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SurgicalGloves.pdf
Food Processing,Dairy,Sweet Condensed Milk,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SweetCondensedMilk.pdf
Food Processing,Confectionery,Sweet Dark Chocolate,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/SweetDarkChocolate.pdf
Electronics,Accessories,Table Fan,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TableFan.pdf
Other Sectors,Minerals,TAILORS' CHALK,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TAILORS' CHALK.pdf
Other Sectors,Cosmetics,TALCUM POWDER,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TALCUM POWDER.pdf
Automotive,Components,Tank Truck,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TankTruck.pdf
Handicrafts and Carpet,Handicrafts,Tarkashi Handicraft,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TarkashiHandicraft.pdf
Food Processing,Beverages,Tea Blending Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TeaBlendingUnit.pdf
"Sports, Physical Education, Fitness & Leisure",Sports Equipment,Tennis Ball,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TennisBall.pdf
Other Sectors,Events,TENT HOUSE,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TENT HOUSE.pdf
Other Sectors,Tent House,Tent House/Camping Agency,/srv/YouthMissionMobile/DPR/Tent__House__SEI__Startup__15lak.pdf
Handicrafts and Carpet,Handicrafts,Terracota Pots_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TerracotaPotsDPR.pdf
Handicrafts and Carpet,Handicrafts,Terracotta Pottery (Manual),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TerracottaPotteryManual.pdf
Handicrafts and Carpet,Handicrafts,Terracotta Pottery (Semiautomatic),https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TerracottaPotterySemiautomatic.pdf
Other Sectors,Textiles,TEXTILE PRINTING,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TEXTILE PRINTING.pdf
Textile,Textiles,Textile Recycling,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TextileRecycling.pdf
Textile,Textiles,Textile Screen Printing Unit,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TextileScreenPrintingUnit.pdf
Food Processing,Cereals,TEXTURISED SOYA PROTEIN,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TEXTURISED SOYA PROTEIN.pdf
Other Sectors,Stationery,Thermal Paper Roll,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ThermalPaperRoll.pdf
HealthCare,Equipment,Thermal Scanner,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ThermalScanner.pdf
"Rubber, Chemical and Petrochemical",Chemicals,Thinner,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Thinner.pdf
Food Processing,Confectionery,Toffee & Candy,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ToffeeCandy.pdf
"Rubber, Chemical and Petrochemical",Chemicals,Toilet Cleaner,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ToiletCleaner.pdf
Other Sectors,Cosmetics,TOILET SOAP ,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TOILET SOAP.pdf
Food Processing,Vegetables,Tomato ketchup,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Tomatoketchup.pdf
Food Processing,Vegetables,TOMATO PRODUCTS,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TOMATO PRODUCTS.pdf
Food Processing,Vegetables,TOMATO PRODUCTS AND PICKLES,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON TOMATO PRODUCTS AND PICKLES.pdf
Other Sectors,Personal Care,Toothbrush,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Toothbrush.pdf
Textile,Textiles,Towel_DPR,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/TowelDPR.pdf
