"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
460,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.5 Important nutrients and their deficiency symptoms in vegetable crops","https://www.youtube.com/watch?v=Qfa4uydlHWo","https://www.youtube.com/watch?v=BKCyvBC3BnY",null,null,"KASHMIRI & URDU"
461,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.6 Disease and pest management of vegetable crops","https://www.youtube.com/watch?v=dfuo5QeRUQA","https://www.youtube.com/watch?v=p4UuuRP-DX4",null,null,"KASHMIRI & URDU"
462,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.7 Off-season vegetable production for higher income generation","https://www.youtube.com/watch?v=Om1MfWSuSEQ","https://www.youtube.com/watch?v=PTSb6Epr2E8",null,null,"KASHMIRI & URDU"
463,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.8 Strategies for management of port-harvest losses of Vegetables.","https://www.youtube.com/watch?v=3HMFga4AyOE","https://www.youtube.com/watch?v=o5HbgR_-YBY",null,null,"KASHMIRI & URDU"
464,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.9 Value addition in vegetable production to boost the Exports","https://www.youtube.com/watch?v=j8wbXZ0oi3w","https://www.youtube.com/watch?v=ahr5O3Kh3Dg",null,null,"KASHMIRI & URDU"
465,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.10 Business plan","https://www.youtube.com/watch?v=kNjbe1r0qeg","https://www.youtube.com/watch?v=tAMipAAR2Ro",null,null,"KASHMIRI & URDU"
466,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Vegetables/exotic vegetables","3.2.Open Field Vegetable Production","3.2.11 Financial plan","https://www.youtube.com/watch?v=rXNgMBUGcYw","https://www.youtube.com/watch?v=lP1eWozHjzk",null,null,"KASHMIRI & URDU"
467,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening Agri- Marketing System","4.1 Rural Business and Service Hubs","4.1.1 Rural Business & Service Hubs: Concept and mandate in the service delivery of agriculture sector","https://www.youtube.com/watch?v=EoJlsZor7io","https://www.youtube.com/watch?v=DAnRoiaItiM",null,null,"KASHMIRI & URDU"
468,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening Agri- Marketing System","4.1 Rural Business and Service Hubs","4.1.2 Rural Entrepreneurship through Business Service Hubs: Evolving Ecosystem","https://www.youtube.com/watch?v=EoJlsZor7io","https://www.youtube.com/watch?v=DAnRoiaItiM",null,null,"KASHMIRI & URDU"
469,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening Agri- Marketing System","4.1 Rural Business and Service Hubs","4.1.3 ICT and its application in rural agri-business and service delivery mechanism","https://www.youtube.com/watch?v=TRyJvCHOZCw","https://www.youtube.com/watch?v=klxXJoEzKyA",null,null,"KASHMIRI & URDU"
470,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening Agri- Marketing System","4.1 Rural Business and Service Hubs","4.1.4 Business Plan for RBSHs","https://www.youtube.com/watch?v=9SgvwpR0oHE","https://www.youtube.com/watch?v=DrLUmz-2TIA",null,null,"KASHMIRI & URDU"
471,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening Agri- Marketing System","4.1 Rural Business and Service Hubs","4.1.5 Financial Plan for RBSHs","https://www.youtube.com/watch?v=LjkjRez6nNM","https://www.youtube.com/watch?v=l3zbg3yQjFU",null,null,"KASHMIRI & URDU"
472,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Medicinal & Aromatic Plants Cultivation on Commercial Basis in the UT of J&K.","5.1 Medicinal & Aromatic Plants: Cultivation, Management & Marketing of Medicinal & Aromatic Plants","5.1.1. Cultivation Practices of Medicinal & Aromatic Plants","https://www.youtube.com/watch?v=CAvVyIibCWo","https://www.youtube.com/watch?v=FXKi34OAHZU",null,null,"KASHMIRI & URDU"
473,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Medicinal & Aromatic Plants Cultivation on Commercial Basis in the UT of J&K.","5.1 Medicinal & Aromatic Plants: Cultivation, Management & Marketing of Medicinal & Aromatic Plants","5.1.2. Harvesting & Post-harvest Management of Medicinal & Aromatic Plants","https://www.youtube.com/watch?v=NBkbp-Vt4J0","https://www.youtube.com/watch?v=Bt10YuAiq8E",null,null,"KASHMIRI & URDU"
474,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Medicinal & Aromatic Plants Cultivation on Commercial Basis in the UT of J&K.","5.1 Medicinal & Aromatic Plants: Cultivation, Management & Marketing of Medicinal & Aromatic Plants","5.1.3. Marketing & Trade of Medicinal & Aromatic Crops/Plants","https://www.youtube.com/watch?v=tp1SKJOOFmY","https://www.youtube.com/watch?v=lcvHRlKQ6vI",null,null,"KASHMIRI & URDU"
475,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Medicinal & Aromatic Plants Cultivation on Commercial Basis in the UT of J&K.","5.1 Medicinal & Aromatic Plants: Cultivation, Management & Marketing of Medicinal & Aromatic Plants","5.1.4 Business Plan of Medicinal & Aromatic Crops/Plants","https://www.youtube.com/watch?v=thLbn6uclHc","https://www.youtube.com/watch?v=9POdSPUAyA0",null,null,"KASHMIRI & URDU"
476,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Medicinal & Aromatic Plants Cultivation on Commercial Basis in the UT of J&K.","5.1 Medicinal & Aromatic Plants: Cultivation, Management & Marketing of Medicinal & Aromatic Plants","5.1.5. Financial Plan for MAPs","https://www.youtube.com/watch?v=w-5KKqUpTJA","https://www.youtube.com/watch?v=-awPVfqABDM",null,null,"KASHMIRI & URDU"
477,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Apiculture","6.1 Beekeeping for Entrepreneurs","6.1.1. Beekeeping for Entrepreneur","https://www.youtube.com/watch?v=8n9agQGc1aA","https://www.youtube.com/watch?v=rdR-tJ2RcC4",null,null,"KASHMIRI & URDU"
478,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Apiculture","6.1 Beekeeping for Entrepreneurs","6.1.2.Business Plan","https://www.youtube.com/watch?v=vyvGBhHTnew","https://www.youtube.com/watch?v=yvrnJ9L_vu4",null,null,"KASHMIRI & URDU"
479,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Apiculture","6.1 Beekeeping for Entrepreneurs","6.1.3 Financial Plan","https://www.youtube.com/watch?v=oiPcVDJNo6Q","https://www.youtube.com/watch?v=KRrxDmt7woU",null,null,"KASHMIRI & URDU"
480,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Apiculture","6.2 Apiculture Equipment & Manufacturing Unit","6.2.1 Apiculture equipment manufacturing unit","https://www.youtube.com/watch?v=6lStJW4yNAk","https://www.youtube.com/watch?v=-KyPw3InP6s",null,null,"KASHMIRI & URDU"
481,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Apiculture","6.2 Apiculture Equipment & Manufacturing Unit","6.2.2 Business Plan","https://www.youtube.com/watch?v=RZt9-xHV3Uk","https://www.youtube.com/watch?v=AaNyJ4hRkI0",null,null,"KASHMIRI & URDU"
482,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Apiculture","6.2 Apiculture Equipment & Manufacturing Unit","6.2.3 Financial Plan","https://www.youtube.com/watch?v=tlD-rOnCXI4","https://www.youtube.com/watch?v=h-intdF1cb0",null,null,"KASHMIRI & URDU"
483,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Apiculture","6.3 Establishment of Honey Processing Unit","6.3.1 Establishment of Honey processing unit","https://www.youtube.com/watch?v=9zfyGGdJ834","https://www.youtube.com/watch?v=PxY88P0LkNQ",null,null,"KASHMIRI & URDU"
484,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Apiculture","6.3 Establishment of Honey Processing Unit","6.3.2 Business Plan","https://www.youtube.com/watch?v=jJHTqyzi8PQ","https://www.youtube.com/watch?v=AFscaLa1db0",null,null,"KASHMIRI & URDU"
485,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Promotion of Apiculture","6.3 Establishment of Honey Processing Unit","6.3.3 Financial Plan","https://www.youtube.com/watch?v=WEnksTBQ86E","https://www.youtube.com/watch?v=OBAn_lUY4eY",null,null,"KASHMIRI & URDU"
486,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening of Sericulture","7.1. Mulberry Production Technology","7.1.1 Soil preparation and mulberry propagation","https://www.youtube.com/watch?v=SwixUxwoHdU","https://www.youtube.com/watch?v=eRsquqp11_c",null,null,"KASHMIRI & URDU"
487,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening of Sericulture","7.1. Mulberry Production Technology","7.1.2 Cultivation of mulberry and nutrient management","https://www.youtube.com/watch?v=18VA6n4_EqY","https://www.youtube.com/watch?v=MrlJchr_Dlo",null,null,"KASHMIRI & URDU"
488,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening of Sericulture","7.1. Mulberry Production Technology","7.1.3 Chawkie leaf production technology","https://www.youtube.com/watch?v=CxvDBV2Ofg8","https://www.youtube.com/watch?v=yAFq1QL1ay4",null,null,"KASHMIRI & URDU"
489,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening of Sericulture","7.1. Mulberry Production Technology","7.1.4 Mulberry diseases and their management","https://www.youtube.com/watch?v=lGKcxGuBxg4","https://www.youtube.com/watch?v=2NRPq_Gp0rg",null,null,"KASHMIRI & URDU"
490,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening of Sericulture","7.1. Mulberry Production Technology","7.1.5 Pests of mulberry and their management","https://www.youtube.com/watch?v=6ms61m3uRxQ","https://www.youtube.com/watch?v=Po06JWl1lCo",null,null,"KASHMIRI & URDU"
491,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening of Sericulture","7.1. Mulberry Production Technology","7.1.6 Intercropping in mulberry","https://www.youtube.com/watch?v=tLWRILwb2vE","https://www.youtube.com/watch?v=I9NDXy2_c_w",null,null,"KASHMIRI & URDU"
492,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening of Sericulture","7.1. Mulberry Production Technology","7.1.7 Business Plan","https://www.youtube.com/watch?v=PbCCePHIdyU","https://www.youtube.com/watch?v=Js0_X9KTZWc",null,null,"KASHMIRI & URDU"
493,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Strengthening of Sericulture","7.1. Mulberry Production Technology","7.1.8 Financial Plan","https://www.youtube.com/watch?v=oZFjhjQffxc","https://www.youtube.com/watch?v=xGFQ6529FcQ",null,null,"KASHMIRI & URDU"
