"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
52,"IT-ITeS","Train and track machine learning models with MLflow in Microsoft Fabric","Free","00:54 hours","Above 18","12th Pass, ITI, Diploma","data-engineer,data-scientist,fabric","English","Learn how to train machine learning models in notebooks and track your work with MLflow experiments in Microsoft Fabric.","https://www.skillindiadigital.gov.in/courses/detail/aedc36a1-c03a-462d-8b58-2f19ff8c9b96",null,null,null,null,null,null,null,null,null
53,"IT-ITeS","Set up the Rust development environment","Free","00:16 hours","Above 18","12th Pass, ITI, Diploma","beginner,student,developer,azure","English","Learn how to set up the Rust development environment, write a program, and use the Cargo build system.","https://www.skillindiadigital.gov.in/courses/detail/c860e7b7-fe38-41d4-a823-48af9c394c88",null,null,null,null,null,null,null,null,null
54,"Telecom","Customer Care Executive (CCE)","Paid, Rs.199","04:00 hours","18+","9th grade pass","NA","English","Individuals at this job provide customer service by handling, following and resolving walk-in customer's queries, requests and complaints and proactively recommend/sell organization's products and services.","https://www.skillindiadigital.gov.in/courses/detail/1c01d6cc-9e56-42ff-a7ce-f96d47737eea",null,null,null,null,null,null,null,null,null
55,"IT-ITeS","Introduction to DevOps Principles for Machine Learning","Free","00:33 hours","Above 18","12th Pass, ITI, Diploma","data-scientist,azure-devops","English","Learn about DevOps for machine learning, machine learning operations, and MLOps.","https://www.skillindiadigital.gov.in/courses/detail/79c327e8-97c3-4ca3-bea9-281eef42540c",null,null,null,null,null,null,null,null,null
56,"IT-ITeS","Implement authentication using Microsoft Authentication Library","Free","00:25 hours","Above 18","12th Pass, ITI, Diploma","developer,azure-sdks","English","Implement authentication by using the Microsoft Authentication Library","https://www.skillindiadigital.gov.in/courses/detail/f30e5e38-4b55-4eec-8a70-5e90b440ee8a",null,null,null,null,null,null,null,null,null
57,"Automotive","CNC Operator / Machining Technician (Milling) - Hindi","Free","1:42 hours","Any","Any","NA","Hindi","This course seeks to train candidates for the job role of 'Machining Technician (Milling)' in the manufacturing industry. It aims at building the following key competencies in learners by the end of the course: Read and understand engineering drawings of simple parts and CNC part programs. Develop part programs for simple components. Produce parts or components in auto cycle. Adjust the tool/cutters or offset data to correct the deviations in part dimensions. Change the cutters/ tools or carbide insets after full wear. Perform preventive maintenance of the machine.","https://www.skillindiadigital.gov.in/courses/detail/0c18a3c8-8ae6-42e4-a72c-09584dd6f2ec",null,null,null,null,null,null,null,null,null
58,"IT-ITeS","Add decision logic to your code using `if`, `else`, and `else if` statements in C#","Free","00:56 hours","Any","Any","Any","English","Learn to branch your code's execution path by evaluating Boolean expressions.","https://www.skillindiadigital.gov.in/courses/detail/5c106cbb-419e-4740-a785-31fbe6d93601",null,null,null,null,null,null,null,null,null
59,"Beauty & Wellness","Assistant Beauty Therapist","Free","03:46 hours","Any","Any","NA","Hindi","This programme is aimed at training candidates for the job of 'Assistant Beauty Therapist' in the 'Beauty' industry. The programme will help in building the following key competencies amongst the trainees: a) to assist the senior professional in performing various cosmetic procedures; b) to assist in the post procedure care of patients; c) to handle client queries","https://www.skillindiadigital.gov.in/courses/detail/388d89ee-1a38-4e6a-b67f-05e79a3546c9",null,null,null,null,null,null,null,null,null
60,"Beauty & Wellness","Assistant Beauty Therapist","Free","03:46 hours","Any","Any","NA","English","This programme is aimed at training candidates for the job of 'Assistant Beauty Therapist' in the 'Beauty' industry. The programme will help in building the following key competencies amongst the trainees: a) to assist the senior professional in performing various cosmetic procedures; b) to assist in the post procedure care of patients; c) to handle client queries","https://www.skillindiadigital.gov.in/courses/detail/0b9620a3-7542-4f8c-9789-376e13d9aa3d",null,null,null,null,null,null,null,null,null
61,"IT-ITeS","Introduction to Azure Synapse Analytics","Free","01:22 hours","18+","12th Pass, ITI, Diploma","data-analyst,data-engineer,azure-synapse-analytics","English","Learn about the features and capabilities of Azure Synapse Analytics - a cloud-based platform for big data processing and analysis.","https://www.skillindiadigital.gov.in/courses/detail/2336e0fb-4216-4c3c-a9cd-62e4b2b4ec74",null,null,null,null,null,null,null,null,null
62,"Construction","Helper Shuttering Carpenter - Hindi","Free","01:23 hours","Any","Any","NA","Hindi","This course aims at building the following key competencies in learners : Identify the different types of shutters Explain the types of materials and terms used while shuttering State the uses of hand and power tools Explain systems of measurement and perform calculations for area and volume Describe the common shuttering activities and tools used for them Explain engineering drawings and be able to read them Erect formwork for columns, beams, foundation, slabs, suspended slabs, retaining wall and arches Dismantle and reuse formwork Explain scaffolding and its types and techniques of formwork Introduce other activities related to masonry","https://www.skillindiadigital.gov.in/courses/detail/d3ae9385-8c03-4515-99a3-5a7b00432bd0",null,null,null,null,null,null,null,null,null
